trial_id,status,duration_s,cfg_profile,cfg_seq_len,cfg_temperature,cfg_threshold,cfg_vocab_size,metric_argmax_sample_agreement,metric_avg_top_prob,metric_confident_entropy_avg,metric_median_top_prob,metric_p10_top_prob,metric_p90_top_prob,metric_skip_rate,metric_threshold,metric_uncertain_entropy_avg
token_confidence_threshold_t0094,completed,0.4024,confident,512,1.5,0.8,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.8,10.133703231811523
token_confidence_threshold_t0095,completed,0.4231,confident,512,1.5,0.85,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.85,10.133703231811523
token_confidence_threshold_t0096,completed,0.4165,confident,512,1.5,0.9,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.9,10.133703231811523
token_confidence_threshold_t0097,completed,0.4107,confident,512,1.5,0.95,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.95,10.133703231811523
token_confidence_threshold_t0098,completed,0.4088,confident,512,1.5,0.99,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.99,10.133703231811523
token_confidence_threshold_t0099,completed,0.4076,confident,512,1.5,0.995,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.995,10.133703231811523
token_confidence_threshold_t0100,completed,0.4317,confident,512,1.5,0.999,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.999,10.133703231811523
token_confidence_threshold_t0101,completed,0.4110,uncertain,512,0.3,0.5,32000,0.001953125,0.0012325114803388715,0,0.0011327262036502361,0.0008394377655349672,0.00172374676913023,0.0,0.5,9.873738288879395
token_confidence_threshold_t0102,completed,0.4123,uncertain,512,0.3,0.6,32000,0.001953125,0.0012325114803388715,0,0.0011327262036502361,0.0008394377655349672,0.00172374676913023,0.0,0.6,9.873738288879395
token_confidence_threshold_t0103,completed,0.4057,uncertain,512,0.3,0.7,32000,0.001953125,0.0012325114803388715,0,0.0011327262036502361,0.0008394377655349672,0.00172374676913023,0.0,0.7,9.873738288879395
token_confidence_threshold_t0104,completed,0.4046,uncertain,512,0.3,0.8,32000,0.001953125,0.0012325114803388715,0,0.0011327262036502361,0.0008394377655349672,0.00172374676913023,0.0,0.8,9.873738288879395
token_confidence_threshold_t0105,completed,0.4458,uncertain,512,0.3,0.85,32000,0.001953125,0.0012325114803388715,0,0.0011327262036502361,0.0008394377655349672,0.00172374676913023,0.0,0.85,9.873738288879395
token_confidence_threshold_t0106,completed,0.4293,uncertain,512,0.3,0.9,32000,0.001953125,0.0012325114803388715,0,0.0011327262036502361,0.0008394377655349672,0.00172374676913023,0.0,0.9,9.873738288879395
